year,scenario,idhh,dwt,n_person_rows,combined_first,weighted_monthly_expenditure,expenditure_share,yds,bsa00_s_first,bsa00_s_maximum,bsa00_s_sum_all_rows,bsa00_s_sum_unique_positive,bsarg_s_first,bsarg_s_maximum,bsarg_s_sum_all_rows,bsarg_s_sum_unique_positive,bsa00_s_n_positive_rows,bsa00_s_n_unique_positive,bsarg_s_n_positive_rows,bsarg_s_n_unique_positive,imv_only_first,combined_maximum,imv_only_maximum,combined_sum_all_rows,imv_only_sum_all_rows,combined_sum_unique_positive,imv_only_sum_unique_positive
2017,imv_only_sum_unique_positive,4370,592.82,1,,322707.49520000006,0.028319634722478792,769.57,544.36,544.36,544.36,544.36,381.02,381.02,381.02,381.02,1,1,1,1,,,,,,,544.36
2017,imv_only_sum_unique_positive,16618,1872.23,5,,321873.7816,0.02824647105269625,3145.93,0.0,171.92,171.92,171.92,0.0,0.0,0.0,0.0,1,1,0,0,,,,,,,171.92
2017,imv_only_sum_unique_positive,8262,1274.41,1,,303131.16260000004,0.026601687055678662,1179.48,237.86,237.86,237.86,237.86,381.02,381.02,381.02,381.02,1,1,1,1,,,,,,,237.86
2017,imv_only_sum_unique_positive,4354,935.6,5,,223299.652,0.01959596437131848,1955.22,0.0,238.67,238.67,238.67,0.0,0.0,0.0,0.0,1,1,0,0,,,,,,,238.67
2018,combined_first,15012,4170.89,2,1130.0,4713105.7,0.14552584806875069,2243.61,0.0,0.0,0.0,0.0,1130.0,1130.0,1130.0,1130.0,0,0,1,1,,,,,,,
2018,combined_first,13124,2163.96,3,1123.5,2431209.06,0.07506807247903016,1934.83,671.86,671.86,671.86,671.86,451.64,451.64,451.64,451.64,1,1,1,1,,,,,,,
2018,combined_first,18283,2800.09,1,786.46,2202158.7814,0.0679957218539108,2492.83,0.0,0.0,0.0,0.0,786.46,786.46,786.46,786.46,0,0,1,1,,,,,,,
2018,combined_first,15021,1943.27,2,1070.37,2080017.9098999999,0.06422439673618771,2670.71,589.04,589.04,589.04,589.04,481.33,481.33,481.33,481.33,1,1,1,1,,,,,,,
2018,combined_first,15034,2359.65,1,880.0,2076492.0,0.06411552775232184,1350.29,0.0,0.0,0.0,0.0,880.0,880.0,880.0,880.0,0,0,1,1,,,,,,,
2018,combined_first,15075,1621.52,3,1250.0,2026900.0,0.06258428310881098,3084.38,0.0,0.0,0.0,0.0,1250.0,1250.0,1250.0,1250.0,0,0,1,1,,,,,,,
2018,combined_first,18266,2017.42,1,880.0,1775329.6,0.05481658211941988,1863.33,0.0,0.0,0.0,0.0,880.0,880.0,880.0,880.0,0,0,1,1,,,,,,,
2018,combined_first,7871,1082.39,3,1314.0,1422260.4600000002,0.04391491996798448,294.32,0.0,0.0,0.0,0.0,1314.0,1314.0,1314.0,1314.0,0,0,1,1,,,,,,,
2018,combined_first,15083,1508.43,1,880.0,1327418.4000000001,0.04098649610214856,739.78,0.0,0.0,0.0,0.0,880.0,880.0,880.0,880.0,0,0,1,1,,,,,,,
