year,drgn2,region,benefit_component,n_households,n_first_recipients,n_max_recipients,recipient_count_difference,weighted_first_recipients,weighted_max_recipients,weighted_recipient_difference,mean_first_monthly,mean_max_monthly,mean_monthly_difference,households_first_below_max,households_multiple_positive_rows,households_multiple_distinct_positive,weighted_recipient_pct_difference,material_difference
2018,62,Región de Murcia,bsarg_s,526,1,1,0,961.61,961.61,0.0,579.02,579.02,0.0,0,0,0,0.0,False
2018,64,Ciudad de Melilla,bsarg_s,128,1,1,0,21.25,21.25,0.0,393.6,393.6,0.0,0,0,0,0.0,False
2019,22,Comunidad Foral de Navarra,bsa00_s,398,3,3,0,1341.8799999999999,1341.8799999999999,0.0,295.1206297880585,295.1206297880585,0.0,0,0,0,0.0,False
2019,41,Castilla y León,bsarg_s,872,3,3,0,3208.4300000000003,3208.4300000000003,0.0,448.94340830250303,448.94340830250303,0.0,0,0,0,0.0,False
2019,42,Castilla-La Mancha,bsarg_s,756,4,4,0,650.82,650.82,0.0,405.4555056697704,405.4555056697704,0.0,0,0,0,0.0,False
2019,64,Ciudad de Melilla,bsarg_s,152,1,1,0,16.8,16.8,0.0,393.6,393.6,0.0,0,0,0,0.0,False
2017,23,La Rioja,bsarg_s,355,0,0,0,0.0,0.0,0.0,,,,8,0,0,,False
2017,24,Aragón,bsarg_s,514,0,0,0,0.0,0.0,0.0,,,,8,2,0,,False
2017,63,Ciudad de Ceuta,bsarg_s,104,0,0,0,0.0,0.0,0.0,,,,0,0,0,,False
2017,64,Ciudad de Melilla,bsarg_s,120,0,0,0,0.0,0.0,0.0,,,,0,0,0,,False
2018,23,La Rioja,bsarg_s,367,0,0,0,0.0,0.0,0.0,,,,10,0,0,,False
2018,24,Aragón,bsarg_s,495,0,0,0,0.0,0.0,0.0,,,,10,0,0,,False
2019,23,La Rioja,bsarg_s,423,0,0,0,0.0,0.0,0.0,,,,30,1,0,,False
2019,24,Aragón,bsarg_s,553,0,0,0,0.0,0.0,0.0,,,,14,2,0,,False
2019,62,Región de Murcia,bsarg_s,647,0,0,0,0.0,0.0,0.0,,,,0,0,0,,False
