outcome,n_obs,n_clusters,controls,coef_medium,se_medium,ci_low_medium,ci_high_medium,pval_cluster_medium,pval_wbt_medium,coef_high,se_high,ci_low_high,ci_high_high,pval_cluster_high,pval_wbt_high,period,sample_rule,control_spec,exposure_spec,common_sample_n_before_outcome_missing
poverty_gap_sq,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner,0.005816357619778743,0.0038205910693340445,-0.0022829336342598972,0.013915648873817384,0.1474338931996635,0.22572257225722572,-0.001355213323420453,0.003394174137990166,-0.00855054106502554,0.005840114418184634,0.6949685352972732,0.7301730173017301,baseline_2021_2025,common_sample,extended_composition,exposure_exp_hybrid,171152
poverty,171149,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.022570291322699082,0.008853237686881696,0.003802265835013252,0.04133831681038491,0.021429983402441843,0.060106010601060106,0.012718990643482678,0.007127933376552228,-0.00239155309396644,0.027829534380931796,0.09333334677523597,0.15231523152315232,baseline_2021_2025,common_sample,legacy_full,exposure_exp_hybrid,171152
matdep,171149,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,-0.00036722235119299634,0.0025015131477347055,-0.005670193329147439,0.004935748626761447,0.8851236131258466,0.8863886388638864,0.009292652369112381,0.006761649928670635,-0.005041405146155515,0.02362670988438028,0.1882890075588033,0.3096309630963096,baseline_2021_2025,common_sample,legacy_full,exposure_exp_hybrid,171152
poverty_gap,171149,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.008455896163042091,0.005099468485611959,-0.0023544941028184867,0.01926628642890267,0.11675142228574575,0.1622162216221622,0.004313065431282392,0.004677531553340205,-0.005602858495918134,0.014228989358482918,0.3701819588894253,0.3858385838583858,baseline_2021_2025,common_sample,legacy_full,exposure_exp_hybrid,171152
poverty_gap_sq,171149,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.005320400434449332,0.0036598270820821337,-0.002438086391090045,0.013078887259988708,0.16535489028736405,0.2006200620062006,0.00291179311399111,0.00392373299506655,-0.005406149254979754,0.011229735482961974,0.468782975422803,0.5016501650165016,baseline_2021_2025,common_sample,legacy_full,exposure_exp_hybrid,171152
poverty,151363,17,,0.002115900770679077,0.012037039614552937,-0.02340148329514786,0.027633284836506015,0.8626703188017935,0.8882888288828883,-0.007706349538171358,0.010905917154542127,-0.0308258611069532,0.015413162030610482,0.4899655122300146,0.5064506450645064,covid_robust_2022_2025,available_case,unadjusted,exposure_cov_hybrid,151363
matdep,151363,17,,0.009791204145826349,0.00483776597175239,-0.00046440157408380624,0.020046809865736502,0.06001017596115643,0.10251025102510251,0.007873619298609002,0.006130852616918889,-0.005123207652741848,0.020870446249959852,0.21733537326341823,0.2686268626862686,covid_robust_2022_2025,available_case,unadjusted,exposure_cov_hybrid,151363
poverty_gap,151363,17,,0.0019260123981293016,0.006402608824405382,-0.011646911977568435,0.015498936773827039,0.7674279935714954,0.8080808080808081,-0.0017751468768230406,0.005731785271402041,-0.013925988847666566,0.010375695094020483,0.7607844495539586,0.7811781178117811,covid_robust_2022_2025,available_case,unadjusted,exposure_cov_hybrid,151363
poverty_gap_sq,151363,17,,0.0027586474519211224,0.004465694469293628,-0.006708201918237489,0.012225496822079733,0.5454381646135031,0.6222622262226223,0.0006038202906407158,0.004255793517458748,-0.008418058939411546,0.009625699520692978,0.888944419190473,0.9062906290629063,covid_robust_2022_2025,available_case,unadjusted,exposure_cov_hybrid,151363
poverty,150621,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,-0.0008971987746146696,0.011411300448889435,-0.025088075067221265,0.023293677517991926,0.938306843453391,0.934993499349935,-0.008989919643647681,0.010113064937018683,-0.030428659595002253,0.012448820307706889,0.38720449207740315,0.39593959395939593,covid_robust_2022_2025,available_case,preferred_demographic,exposure_cov_hybrid,151363
matdep,150621,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.008479478106958163,0.0050740011622872686,-0.002276923845229423,0.019235880059145748,0.1141304444614375,0.1337133713371337,0.007462487641306501,0.0056821232471397165,-0.004583075541133266,0.019508050823746268,0.2075958693845732,0.25512551255125515,covid_robust_2022_2025,available_case,preferred_demographic,exposure_cov_hybrid,151363
poverty_gap,150621,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.0003590233944041546,0.0063555937982053695,-0.013114233578109149,0.013832280366917459,0.955651403308583,0.9556955695569557,-0.002112312805790873,0.00553557645348575,-0.013847210663779714,0.009622585052197968,0.7077865822558813,0.7304730473047305,covid_robust_2022_2025,available_case,preferred_demographic,exposure_cov_hybrid,151363
poverty_gap_sq,150621,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.0016110441916069953,0.004415991734952886,-0.00775044008863689,0.01097252847185088,0.720022669096277,0.7568756875687569,0.0003933368855547195,0.0040895579144116035,-0.00827613860867866,0.009062812379788098,0.9245713963429332,0.9291929192919292,covid_robust_2022_2025,available_case,preferred_demographic,exposure_cov_hybrid,151363
