period,sample_rule,control_spec,exposure_spec,outcome,n_obs,coef_medium,pval_wbt_medium,coef_high,pval_wbt_high,controls
covid_robust_2022_2025,available_case,preferred_demographic,exposure_cov_hybrid,matdep,150621,0.008479478106958163,0.1337133713371337,0.007462487641306501,0.25512551255125515,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
covid_robust_2022_2025,available_case,preferred_demographic,exposure_cov_hybrid,poverty_gap,150621,0.0003590233944041546,0.9556955695569557,-0.002112312805790873,0.7304730473047305,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
covid_robust_2022_2025,available_case,preferred_demographic,exposure_cov_hybrid,poverty_gap_sq,150621,0.0016110441916069953,0.7568756875687569,0.0003933368855547195,0.9291929192919292,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
covid_robust_2022_2025,available_case,extended_composition,exposure_cov_hybrid,poverty,150621,-0.000996938344515137,0.9482948294829483,-0.007828783424260565,0.49154915491549156,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
covid_robust_2022_2025,available_case,extended_composition,exposure_cov_hybrid,matdep,150621,0.00833203555148011,0.1471147114711471,0.008271455264904215,0.17431743174317432,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
covid_robust_2022_2025,available_case,extended_composition,exposure_cov_hybrid,poverty_gap,150621,0.00033979600702585685,0.9680968096809681,-0.001644550449635882,0.7953795379537953,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
covid_robust_2022_2025,available_case,extended_composition,exposure_cov_hybrid,poverty_gap_sq,150621,0.001589074645742023,0.7831783178317832,0.0006597759273132323,0.8924892489248925,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
covid_robust_2022_2025,available_case,legacy_full,exposure_cov_hybrid,poverty,151307,0.007191347583479708,0.6085608560856086,0.006956262468570419,0.5851585158515852,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
covid_robust_2022_2025,available_case,legacy_full,exposure_cov_hybrid,matdep,151307,0.010957337727848284,0.038103810381038106,0.013381158673372714,0.09580958095809582,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
covid_robust_2022_2025,available_case,legacy_full,exposure_cov_hybrid,poverty_gap,151307,0.00416908596926497,0.6000600060006,0.0058549419873056745,0.47474747474747475,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
covid_robust_2022_2025,available_case,legacy_full,exposure_cov_hybrid,poverty_gap_sq,151307,0.004210358695700857,0.46894689468946893,0.005746463450141227,0.34373437343734375,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
covid_robust_2022_2025,common_sample,unadjusted,exposure_cov_hybrid,poverty,150621,0.002035656770172218,0.8931893189318932,-0.008028146754990998,0.495949594959496,
covid_robust_2022_2025,common_sample,unadjusted,exposure_cov_hybrid,matdep,150621,0.00971788761941759,0.08980898089808981,0.008026327359101975,0.2676267626762676,
covid_robust_2022_2025,common_sample,unadjusted,exposure_cov_hybrid,poverty_gap,150621,0.0018696181710417287,0.8078807880788079,-0.0018980188015659712,0.7634763476347635,
covid_robust_2022_2025,common_sample,unadjusted,exposure_cov_hybrid,poverty_gap_sq,150621,0.0026967051081752008,0.6295629562956295,0.0004921806871358411,0.9246924692469247,
covid_robust_2022_2025,common_sample,preferred_demographic,exposure_cov_hybrid,poverty,150621,-0.0008971987746146696,0.934993499349935,-0.008989919643647681,0.39593959395939593,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
covid_robust_2022_2025,common_sample,preferred_demographic,exposure_cov_hybrid,matdep,150621,0.008479478106958163,0.1337133713371337,0.007462487641306501,0.25512551255125515,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
covid_robust_2022_2025,common_sample,preferred_demographic,exposure_cov_hybrid,poverty_gap,150621,0.0003590233944041546,0.9556955695569557,-0.002112312805790873,0.7304730473047305,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
covid_robust_2022_2025,common_sample,preferred_demographic,exposure_cov_hybrid,poverty_gap_sq,150621,0.0016110441916069953,0.7568756875687569,0.0003933368855547195,0.9291929192919292,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
covid_robust_2022_2025,common_sample,extended_composition,exposure_cov_hybrid,poverty,150621,-0.000996938344515137,0.9482948294829483,-0.007828783424260565,0.49154915491549156,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
covid_robust_2022_2025,common_sample,extended_composition,exposure_cov_hybrid,matdep,150621,0.00833203555148011,0.1471147114711471,0.008271455264904215,0.17431743174317432,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
covid_robust_2022_2025,common_sample,extended_composition,exposure_cov_hybrid,poverty_gap,150621,0.00033979600702585685,0.9680968096809681,-0.001644550449635882,0.7953795379537953,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
covid_robust_2022_2025,common_sample,extended_composition,exposure_cov_hybrid,poverty_gap_sq,150621,0.001589074645742023,0.7831783178317832,0.0006597759273132323,0.8924892489248925,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
covid_robust_2022_2025,common_sample,legacy_full,exposure_cov_hybrid,poverty,150619,0.00711408420713436,0.6153615361536153,0.006602458126195746,0.6034603460346034,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
covid_robust_2022_2025,common_sample,legacy_full,exposure_cov_hybrid,matdep,150619,0.010983951565221644,0.030703070307030702,0.013443406690921096,0.09510951095109511,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
covid_robust_2022_2025,common_sample,legacy_full,exposure_cov_hybrid,poverty_gap,150619,0.004125211982712807,0.6054605460546054,0.005718702586019437,0.48934893489348935,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
covid_robust_2022_2025,common_sample,legacy_full,exposure_cov_hybrid,poverty_gap_sq,150619,0.00415698772949292,0.48004800480048004,0.005631329722479079,0.35333533353335334,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
covid_robust_2022_2025,available_case,unadjusted,exposure_exp_hybrid,poverty,151363,0.027146155615472567,0.08720872087208721,0.006432932940555439,0.5228522852285229,
covid_robust_2022_2025,available_case,unadjusted,exposure_exp_hybrid,matdep,151363,0.0019453592977729548,0.5082508250825083,0.009541536864703697,0.20532053205320533,
covid_robust_2022_2025,available_case,unadjusted,exposure_exp_hybrid,poverty_gap,151363,0.01063967023220299,0.1628162816281628,0.000385728322551769,0.9388938893889389,
covid_robust_2022_2025,available_case,unadjusted,exposure_exp_hybrid,poverty_gap_sq,151363,0.006669161242888459,0.18071807180718072,7.2377504024319e-05,0.9845984598459846,
covid_robust_2022_2025,available_case,preferred_demographic,exposure_exp_hybrid,poverty,150621,0.023252881624049045,0.11981198119811981,0.0009228540902345579,0.9193919391939194,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
covid_robust_2022_2025,available_case,preferred_demographic,exposure_exp_hybrid,matdep,150621,0.00027486620843651666,0.9206920692069207,0.006705338400210086,0.3169316931693169,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
covid_robust_2022_2025,available_case,preferred_demographic,exposure_exp_hybrid,poverty_gap,150621,0.009003328628507596,0.19091909190919093,-0.0020669125996184926,0.6691669166916692,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
covid_robust_2022_2025,available_case,preferred_demographic,exposure_exp_hybrid,poverty_gap_sq,150621,0.005617666139721112,0.22442244224422442,-0.0015101661356745444,0.711971197119712,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
covid_robust_2022_2025,available_case,extended_composition,exposure_exp_hybrid,poverty,150621,0.02324438037363976,0.11411141114111412,-0.0025228935403888812,0.7965796579657966,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
covid_robust_2022_2025,available_case,extended_composition,exposure_exp_hybrid,matdep,150621,0.0002641456740709978,0.916891689168917,0.004327235368036339,0.49784978497849786,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
covid_robust_2022_2025,available_case,extended_composition,exposure_exp_hybrid,poverty_gap,150621,0.009001204964612989,0.208020802080208,-0.0034605987560499566,0.4955495549554956,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
covid_robust_2022_2025,available_case,extended_composition,exposure_exp_hybrid,poverty_gap_sq,150621,0.005615766561339645,0.24262426242624263,-0.0023013642169544078,0.5676567656765676,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
covid_robust_2022_2025,available_case,legacy_full,exposure_exp_hybrid,poverty,151307,0.022016290274514336,0.10521052105210521,0.01092673470176269,0.20162016201620162,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
covid_robust_2022_2025,available_case,legacy_full,exposure_exp_hybrid,matdep,151307,-0.00010182057362874163,0.9631963196319632,0.009086928202363453,0.34493449344934496,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
covid_robust_2022_2025,available_case,legacy_full,exposure_exp_hybrid,poverty_gap,151307,0.008143900527403094,0.19121912191219123,0.0029970068052895503,0.5785578557855786,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
