variable,value,unweighted_n,weighted_n,unweighted_pct,weighted_pct
head_education_isced,0.0,13655,13655.0,7.938999645346775,7.938999645346775
head_education_isced,100.0,24915,24915.0,14.485549334589155,14.485549334589155
head_education_isced,200.0,37751,37751.0,21.948383420833842,21.948383420833842
head_education_isced,300.0,7246,7246.0,4.212815190785993,4.212815190785993
head_education_isced,340.0,16980,16980.0,9.872150419479183,9.872150419479183
head_education_isced,344.0,1236,1236.0,0.7186088291210996,0.7186088291210996
head_education_isced,350.0,10123,10123.0,5.885499334298455,5.885499334298455
head_education_isced,353.0,64,64.0,0.03720951865999221,0.03720951865999221
head_education_isced,354.0,1015,1015.0,0.590119709998314,0.590119709998314
head_education_isced,400.0,51,51.0,0.029651335182181292,0.029651335182181292
head_education_isced,450.0,257,257.0,0.14941947336903122,0.14941947336903122
head_education_isced,500.0,58119,58119.0,33.790312734376364,33.790312734376364
head_education_isced,<MISSING>,587,587.0,0.34128105395961605,0.34128105395961605
head_high_education,0.0,113878,113878.0,66.2085244681655,66.2085244681655
head_high_education,1.0,58119,58119.0,33.790312734376364,33.790312734376364
head_high_education,<MISSING>,2,2.0,0.0011627974581247566,0.0011627974581247566
n_adults,0.0,3,3.0,0.0017441961871871349,0.0017441961871871349
n_adults,1.0,48262,48262.0,28.0594654620085,28.0594654620085
n_adults,2.0,84117,84117.0,48.90551689254007,48.90551689254007
n_adults,3.0,27326,27326.0,15.887301670358548,15.887301670358548
n_adults,4.0,10412,10412.0,6.053523566997483,6.053523566997483
n_adults,5.0,1517,1517.0,0.8819818719876278,0.8819818719876278
n_adults,6.0,299,299.0,0.1738382199896511,0.1738382199896511
n_adults,7.0,44,44.0,0.025581544078744644,0.025581544078744644
n_adults,8.0,15,15.0,0.008720980935935674,0.008720980935935674
n_adults,9.0,4,4.0,0.002325594916249513,0.002325594916249513
n_children,0.0,125060,125060.0,72.70972505654103,72.70972505654103
n_children,1.0,24372,24372.0,14.169849824708283,14.169849824708283
