model,exposure_spec,outcome,group,year,rel_year,term,coef,se,ci_low,ci_high,pval_crv1,reference_year,pre_period,n_obs,n_clusters,pretrend_chi2_stat,pretrend_chi2_p,pretrend_inference
continuous,exposure_cov_sim,poverty_gap_sq,,2023,4,event_x_2023,0.0004997329793940112,0.0013348429188864775,-0.0023632203434950506,0.0033626863022830733,0.7137341678075142,2019,False,160572,15,8.632498082385048,0.01334986453748106,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,poverty_gap_sq,,2024,5,event_x_2024,0.00022287690919590603,0.0016141360415609918,-0.0032391005852324484,0.0036848544036242603,0.8921449887804291,2019,False,160572,15,8.632498082385048,0.01334986453748106,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,poverty_gap_sq,,2025,6,event_x_2025,0.0006391630044841613,0.0015242834023029303,-0.002630099745389222,0.003908425754357544,0.681345008056756,2019,False,160572,15,8.632498082385048,0.01334986453748106,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_sim,poverty,,2017,-2,event_x_2017,0.001880372730265586,0.003906089066346667,-0.00649735510105603,0.010258100561587201,0.637673091474996,2019,True,160572,15,1.5125513873209977,0.46941140745268406,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_sim,poverty,,2018,-1,event_x_2018,0.004685125956137304,0.005388369451159683,-0.006871777112292947,0.016242029024567554,0.3992420127330978,2019,True,160572,15,1.5125513873209977,0.46941140745268406,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_sim,poverty,,2021,2,event_x_2021,0.006543708116144927,0.0040157510588906264,-0.0020692212969555144,0.015156637529245367,0.12549057599282976,2019,False,160572,15,1.5125513873209977,0.46941140745268406,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_sim,poverty,,2022,3,event_x_2022,0.0027710148613341603,0.003916857056492395,-0.005629808011907642,0.011171837734575963,0.49089136499220754,2019,False,160572,15,1.5125513873209977,0.46941140745268406,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_sim,poverty,,2023,4,event_x_2023,0.005514224933697029,0.003096111036096792,-0.0011262728008387696,0.012154722668232828,0.09660955199765708,2019,False,160572,15,1.5125513873209977,0.46941140745268406,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_sim,poverty,,2024,5,event_x_2024,0.005276238809668108,0.005971843091526719,-0.007532090755372301,0.018084568374708516,0.39187551857272096,2019,False,160572,15,1.5125513873209977,0.46941140745268406,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_sim,poverty,,2025,6,event_x_2025,0.00537062387597385,0.004273037199237296,-0.003794129425927881,0.014535377177875581,0.22936881804834108,2019,False,160572,15,1.5125513873209977,0.46941140745268406,CRV1 asymptotic chi-square Wald diagnostic
