model,exposure_spec,outcome,group,year,rel_year,term,coef,se,ci_low,ci_high,pval_crv1,reference_year,pre_period,n_obs,n_clusters,control_spec,pretrend_group_chi2_stat,pretrend_group_chi2_p,pretrend_inference,pretrend_chi2_stat,pretrend_chi2_p
tercile,exposure_cov_hybrid,poverty_gap,medium,2021,2,event_medium_2021,-0.0035208613400745294,0.0035858941437161723,-0.011122617337784906,0.0040808946576358475,0.34078157175693136,2019,False,171152,17,preferred_demographic,0.23346905979760194,0.8898213827839198,CRV1 asymptotic chi-square Wald diagnostic,4.567936387418561,0.33456781404356906
tercile,exposure_cov_hybrid,poverty_gap,medium,2022,3,event_medium_2022,-0.0014361209045423646,0.0034380438323591005,-0.008724448243715374,0.0058522064346306435,0.681707655328192,2019,False,171152,17,preferred_demographic,0.23346905979760194,0.8898213827839198,CRV1 asymptotic chi-square Wald diagnostic,4.567936387418561,0.33456781404356906
tercile,exposure_cov_hybrid,poverty_gap,medium,2023,4,event_medium_2023,-0.0003906761298738807,0.005153392744605045,-0.01131538071813048,0.01053402845838272,0.9405104774405539,2019,False,171152,17,preferred_demographic,0.23346905979760194,0.8898213827839198,CRV1 asymptotic chi-square Wald diagnostic,4.567936387418561,0.33456781404356906
tercile,exposure_cov_hybrid,poverty_gap,medium,2024,5,event_medium_2024,-0.0017399733023155122,0.005718212543958009,-0.013862042376325547,0.010382095771694523,0.7648316953378218,2019,False,171152,17,preferred_demographic,0.23346905979760194,0.8898213827839198,CRV1 asymptotic chi-square Wald diagnostic,4.567936387418561,0.33456781404356906
tercile,exposure_cov_hybrid,poverty_gap,medium,2025,6,event_medium_2025,-0.0012478431169812509,0.004859007058332057,-0.01154847792889286,0.009052791694930357,0.8005983285477773,2019,False,171152,17,preferred_demographic,0.23346905979760194,0.8898213827839198,CRV1 asymptotic chi-square Wald diagnostic,4.567936387418561,0.33456781404356906
tercile,exposure_cov_hybrid,poverty_gap,high,2017,-2,event_high_2017,0.003330122019050828,0.006797563962918272,-0.011080069847735049,0.017740313885836703,0.6308544868070356,2019,True,171152,17,preferred_demographic,1.50336209460912,0.4715731492819796,CRV1 asymptotic chi-square Wald diagnostic,4.567936387418561,0.33456781404356906
tercile,exposure_cov_hybrid,poverty_gap,high,2018,-1,event_high_2018,-0.0025772428926858653,0.004625434656089748,-0.012382726331332163,0.0072282405459604335,0.5851091480837041,2019,True,171152,17,preferred_demographic,1.50336209460912,0.4715731492819796,CRV1 asymptotic chi-square Wald diagnostic,4.567936387418561,0.33456781404356906
tercile,exposure_cov_hybrid,poverty_gap,high,2021,2,event_high_2021,0.0008792937331779902,0.00483921916811961,-0.009379392625411842,0.011137980091767823,0.8580989243957786,2019,False,171152,17,preferred_demographic,1.50336209460912,0.4715731492819796,CRV1 asymptotic chi-square Wald diagnostic,4.567936387418561,0.33456781404356906
tercile,exposure_cov_hybrid,poverty_gap,high,2022,3,event_high_2022,0.0004433972474961239,0.003530318788379683,-0.007040544259930325,0.007927338754922573,0.9016156041756285,2019,False,171152,17,preferred_demographic,1.50336209460912,0.4715731492819796,CRV1 asymptotic chi-square Wald diagnostic,4.567936387418561,0.33456781404356906
tercile,exposure_cov_hybrid,poverty_gap,high,2023,4,event_high_2023,-0.0020832531937674727,0.004063494630901488,-0.010697476995172654,0.006530970607637708,0.6151833175058474,2019,False,171152,17,preferred_demographic,1.50336209460912,0.4715731492819796,CRV1 asymptotic chi-square Wald diagnostic,4.567936387418561,0.33456781404356906
tercile,exposure_cov_hybrid,poverty_gap,high,2024,5,event_high_2024,-0.003944776253480226,0.004822538464228004,-0.014168101099495501,0.00627854859253505,0.42537908484293796,2019,False,171152,17,preferred_demographic,1.50336209460912,0.4715731492819796,CRV1 asymptotic chi-square Wald diagnostic,4.567936387418561,0.33456781404356906
tercile,exposure_cov_hybrid,poverty_gap,high,2025,6,event_high_2025,-0.0015212667672561,0.004886760275110511,-0.011880735770486789,0.008838202235974587,0.7595890790716222,2019,False,171152,17,preferred_demographic,1.50336209460912,0.4715731492819796,CRV1 asymptotic chi-square Wald diagnostic,4.567936387418561,0.33456781404356906
tercile,exposure_cov_hybrid,poverty_gap_sq,medium,2017,-2,event_medium_2017,-0.0017675165020659925,0.005586922762205513,-0.013611263672005311,0.010076230667873325,0.7558141329023278,2019,True,171152,17,preferred_demographic,0.21019786696910386,0.9002354547499869,CRV1 asymptotic chi-square Wald diagnostic,3.7538124194805453,0.44034766087038346
tercile,exposure_cov_hybrid,poverty_gap_sq,medium,2018,-1,event_medium_2018,-0.0017725056452893954,0.004019206967528662,-0.010292843794420395,0.006747832503841604,0.6651076119609751,2019,True,171152,17,preferred_demographic,0.21019786696910386,0.9002354547499869,CRV1 asymptotic chi-square Wald diagnostic,3.7538124194805453,0.44034766087038346
tercile,exposure_cov_hybrid,poverty_gap_sq,medium,2021,2,event_medium_2021,-0.0014577966015437704,0.003336805307784209,-0.008531507855985124,0.005615914652897584,0.6680343321021613,2019,False,171152,17,preferred_demographic,0.21019786696910386,0.9002354547499869,CRV1 asymptotic chi-square Wald diagnostic,3.7538124194805453,0.44034766087038346
tercile,exposure_cov_hybrid,poverty_gap_sq,medium,2022,3,event_medium_2022,0.0009877770371406857,0.002840674694021993,-0.005034184300080253,0.007009738374361625,0.7325781845310757,2019,False,171152,17,preferred_demographic,0.21019786696910386,0.9002354547499869,CRV1 asymptotic chi-square Wald diagnostic,3.7538124194805453,0.44034766087038346
tercile,exposure_cov_hybrid,poverty_gap_sq,medium,2023,4,event_medium_2023,0.0009367959815164827,0.0035547544660159557,-0.006598946848421163,0.008472538811454128,0.7955034671071735,2019,False,171152,17,preferred_demographic,0.21019786696910386,0.9002354547499869,CRV1 asymptotic chi-square Wald diagnostic,3.7538124194805453,0.44034766087038346
tercile,exposure_cov_hybrid,poverty_gap_sq,medium,2024,5,event_medium_2024,-0.0003481566695189062,0.0035272999926582046,-0.007825698615898127,0.007129385276860314,0.9225997554279459,2019,False,171152,17,preferred_demographic,0.21019786696910386,0.9002354547499869,CRV1 asymptotic chi-square Wald diagnostic,3.7538124194805453,0.44034766087038346
tercile,exposure_cov_hybrid,poverty_gap_sq,medium,2025,6,event_medium_2025,0.0004789648791901299,0.0028257747245282903,-0.005511409933742874,0.006469339692123133,0.8675289698119806,2019,False,171152,17,preferred_demographic,0.21019786696910386,0.9002354547499869,CRV1 asymptotic chi-square Wald diagnostic,3.7538124194805453,0.44034766087038346
tercile,exposure_cov_hybrid,poverty_gap_sq,high,2017,-2,event_high_2017,0.0016285811187197292,0.005091746379345071,-0.009165439013144525,0.012422601250583983,0.7532227608529651,2019,True,171152,17,preferred_demographic,1.1827566550222617,0.5535637664977593,CRV1 asymptotic chi-square Wald diagnostic,3.7538124194805453,0.44034766087038346
tercile,exposure_cov_hybrid,poverty_gap_sq,high,2018,-1,event_high_2018,-0.002642432433749846,0.0033992256128845943,-0.009848468823752513,0.004563603956252822,0.4482866247547257,2019,True,171152,17,preferred_demographic,1.1827566550222617,0.5535637664977593,CRV1 asymptotic chi-square Wald diagnostic,3.7538124194805453,0.44034766087038346
tercile,exposure_cov_hybrid,poverty_gap_sq,high,2021,2,event_high_2021,0.0015171768218387163,0.004077738717259446,-0.007127243093719264,0.010161596737396698,0.7147275398644228,2019,False,171152,17,preferred_demographic,1.1827566550222617,0.5535637664977593,CRV1 asymptotic chi-square Wald diagnostic,3.7538124194805453,0.44034766087038346
tercile,exposure_cov_hybrid,poverty_gap_sq,high,2022,3,event_high_2022,0.001862264935128741,0.0031422240244296453,-0.004798952425600001,0.008523482295857483,0.5616934326656753,2019,False,171152,17,preferred_demographic,1.1827566550222617,0.5535637664977593,CRV1 asymptotic chi-square Wald diagnostic,3.7538124194805453,0.44034766087038346
tercile,exposure_cov_hybrid,poverty_gap_sq,high,2023,4,event_high_2023,-0.00013425063516757035,0.003145175521255788,-0.006801724889658687,0.006533223619323547,0.9664810835366913,2019,False,171152,17,preferred_demographic,1.1827566550222617,0.5535637664977593,CRV1 asymptotic chi-square Wald diagnostic,3.7538124194805453,0.44034766087038346
tercile,exposure_cov_hybrid,poverty_gap_sq,high,2024,5,event_high_2024,-0.0019390104158091262,0.0036842015858845546,-0.009749168881125144,0.005871148049506891,0.6058964281152188,2019,False,171152,17,preferred_demographic,1.1827566550222617,0.5535637664977593,CRV1 asymptotic chi-square Wald diagnostic,3.7538124194805453,0.44034766087038346
tercile,exposure_cov_hybrid,poverty_gap_sq,high,2025,6,event_high_2025,0.0008568860177434067,0.003774485887720297,-0.007144666617470692,0.008858438652957506,0.8232829461103455,2019,False,171152,17,preferred_demographic,1.1827566550222617,0.5535637664977593,CRV1 asymptotic chi-square Wald diagnostic,3.7538124194805453,0.44034766087038346
tercile,exposure_exp_hybrid,poverty,medium,2017,-2,event_medium_2017,-0.0022354380146093417,0.010499861106675027,-0.02449414921573688,0.020023273186518198,0.8340925645698585,2019,True,171152,17,preferred_demographic,0.17409356015259814,0.9166342144116781,CRV1 asymptotic chi-square Wald diagnostic,0.773413116507574,0.9419764496488738
tercile,exposure_exp_hybrid,poverty,medium,2018,-1,event_medium_2018,0.003532246214254611,0.011270410231041129,-0.020359956158926922,0.027424448587436142,0.7580187568154719,2019,True,171152,17,preferred_demographic,0.17409356015259814,0.9166342144116781,CRV1 asymptotic chi-square Wald diagnostic,0.773413116507574,0.9419764496488738
tercile,exposure_exp_hybrid,poverty,medium,2021,2,event_medium_2021,0.02169337934994411,0.006099088972865703,0.008763888315944188,0.03462287038394403,0.0026283522786823,2019,False,171152,17,preferred_demographic,0.17409356015259814,0.9166342144116781,CRV1 asymptotic chi-square Wald diagnostic,0.773413116507574,0.9419764496488738
tercile,exposure_exp_hybrid,poverty,medium,2022,3,event_medium_2022,0.017023539119363627,0.006149873173069834,0.003986390390234256,0.030060687848493,0.013713493920691988,2019,False,171152,17,preferred_demographic,0.17409356015259814,0.9166342144116781,CRV1 asymptotic chi-square Wald diagnostic,0.773413116507574,0.9419764496488738
tercile,exposure_exp_hybrid,poverty,medium,2023,4,event_medium_2023,0.027358609356650156,0.00952646269242971,0.007163410612134834,0.04755380810116548,0.011068570793347776,2019,False,171152,17,preferred_demographic,0.17409356015259814,0.9166342144116781,CRV1 asymptotic chi-square Wald diagnostic,0.773413116507574,0.9419764496488738
tercile,exposure_exp_hybrid,poverty,medium,2024,5,event_medium_2024,0.03033278173192382,0.00869080183074951,0.011909104876436153,0.04875645858741148,0.003025419178980915,2019,False,171152,17,preferred_demographic,0.17409356015259814,0.9166342144116781,CRV1 asymptotic chi-square Wald diagnostic,0.773413116507574,0.9419764496488738
