model,exposure_spec,outcome,year,rel_year,term,coef,se,ci_low,ci_high,pval_crv1,pval_wbt,pre_period,reference_year,n_obs,n_clusters,pretrend_wald_stat,pretrend_wald_p,lead_mean,lead_max_abs,region_trends
continuous_event_study,exposure_cov_hybrid,matdep,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,2.3733199575798833,0.3052390683389695,0.0017690107184709007,0.004687334774593576,False
continuous_event_study,exposure_cov_hybrid,matdep,2021,2,yr_2021_x_exp,0.0064863452655821476,0.0019769216491730014,0.0022954585853550797,0.010677231945809215,0.004703495384902778,0.08810881088108811,False,2019,171999,17,2.3733199575798833,0.3052390683389695,0.0017690107184709007,0.004687334774593576,False
continuous_event_study,exposure_cov_hybrid,matdep,2022,3,yr_2022_x_exp,0.00817348725794396,0.0018947333488538599,0.004156831991097428,0.012190142524790492,0.0005350613032333307,0.0446044604460446,False,2019,171999,17,2.3733199575798833,0.3052390683389695,0.0017690107184709007,0.004687334774593576,False
continuous_event_study,exposure_cov_hybrid,matdep,2023,4,yr_2023_x_exp,0.009306317453042973,0.0027177525669636105,0.0035449393843646473,0.015067695521721297,0.003477416293034441,0.10851085108510851,False,2019,171999,17,2.3733199575798833,0.3052390683389695,0.0017690107184709007,0.004687334774593576,False
continuous_event_study,exposure_cov_hybrid,matdep,2024,5,yr_2024_x_exp,0.004546949673818749,0.0019543113665955697,0.0004039946514444691,0.008689904696193029,0.03344505942820719,0.21022102210221022,False,2019,171999,17,2.3733199575798833,0.3052390683389695,0.0017690107184709007,0.004687334774593576,False
continuous_event_study,exposure_cov_hybrid,matdep,2025,6,yr_2025_x_exp,0.007182677802846682,0.002287697116235649,0.0023329765631255467,0.012032379042567817,0.006330556668933562,0.16771677167716773,False,2019,171999,17,2.3733199575798833,0.3052390683389695,0.0017690107184709007,0.004687334774593576,False
continuous_event_study,exposure_cov_hybrid,poverty_gap,2017,-2,yr_2017_x_exp,0.005938118818350246,0.0014609117386589167,0.0028411242818726723,0.00903511335482782,0.0009009302175173595,0.0036003600360036,True,2019,171999,17,16.855580402376454,0.000218704249183989,0.0034145196345090625,0.005938118818350246,False
continuous_event_study,exposure_cov_hybrid,poverty_gap,2018,-1,yr_2018_x_exp,0.000890920450667879,0.0018557469331311005,-0.0030430873068903325,0.00482492820822609,0.6376628663600648,0.6436643664366437,True,2019,171999,17,16.855580402376454,0.000218704249183989,0.0034145196345090625,0.005938118818350246,False
continuous_event_study,exposure_cov_hybrid,poverty_gap,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,16.855580402376454,0.000218704249183989,0.0034145196345090625,0.005938118818350246,False
continuous_event_study,exposure_cov_hybrid,poverty_gap,2021,2,yr_2021_x_exp,0.0006251775736007059,0.0016446980927636563,-0.00286142662886806,0.004111781776069472,0.708857247766776,0.7345734573457345,False,2019,171999,17,16.855580402376454,0.000218704249183989,0.0034145196345090625,0.005938118818350246,False
continuous_event_study,exposure_cov_hybrid,poverty_gap,2022,3,yr_2022_x_exp,-6.488771748360805e-05,0.0017976007008236401,-0.003875630969043484,0.0037458555340762678,0.9716516568916467,0.9635963596359636,False,2019,171999,17,16.855580402376454,0.000218704249183989,0.0034145196345090625,0.005938118818350246,False
continuous_event_study,exposure_cov_hybrid,poverty_gap,2023,4,yr_2023_x_exp,-0.00017981100304938875,0.0028774475960379304,-0.006279727410121658,0.0059201054040228795,0.950946812142162,0.933993399339934,False,2019,171999,17,16.855580402376454,0.000218704249183989,0.0034145196345090625,0.005938118818350246,False
continuous_event_study,exposure_cov_hybrid,poverty_gap,2024,5,yr_2024_x_exp,-2.8821981786766046e-05,0.0029638164831256187,-0.006311832250284067,0.0062541882867105355,0.9923612224128444,0.9922992299229924,False,2019,171999,17,16.855580402376454,0.000218704249183989,0.0034145196345090625,0.005938118818350246,False
continuous_event_study,exposure_cov_hybrid,poverty_gap,2025,6,yr_2025_x_exp,-0.0004884712131811556,0.0020063978311073804,-0.004741844607691724,0.003764902181329412,0.8107454639031975,0.8045804580458046,False,2019,171999,17,16.855580402376454,0.000218704249183989,0.0034145196345090625,0.005938118818350246,False
continuous_event_study,exposure_cov_hybrid,poverty_gap_sq,2017,-2,yr_2017_x_exp,0.0037208495829574705,0.0011974189916667177,0.0011824347171350245,0.0062592644487799165,0.006774166899024436,0.19681968196819682,True,2019,171999,17,10.257544611870106,0.005923828660502305,0.0017711191765599802,0.0037208495829574705,False
continuous_event_study,exposure_cov_hybrid,poverty_gap_sq,2018,-1,yr_2018_x_exp,-0.0001786112298375099,0.0014902619454991415,-0.0033378254253289166,0.0029806029656538964,0.9060922464531442,0.9183918391839184,True,2019,171999,17,10.257544611870106,0.005923828660502305,0.0017711191765599802,0.0037208495829574705,False
continuous_event_study,exposure_cov_hybrid,poverty_gap_sq,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,10.257544611870106,0.005923828660502305,0.0017711191765599802,0.0037208495829574705,False
