model,exposure_spec,outcome,group,term,coef,se,ci_low,ci_high,pval_crv1,pval_wbt,fake_treatment_year,n_obs,n_clusters,verdict,joint_wald_stat,joint_wald_p
tercile_placebo,exposure_composite_sim,matdep,high,post_fake_x_high,-0.0009033792086109701,0.005596343372339912,-0.012906341974622643,0.011099583557400703,0.8740665346998084,0.8972897289728973,2019,39542,15,consistent_with_parallel_pretrends,1.5063435588912453,0.47087068375554175
tercile_placebo,exposure_composite_sim,poverty_gap,medium,post_fake_x_medium,-0.0014848273717588574,0.006228841412789141,-0.014844363515060134,0.01187470877154242,0.815040649967254,0.8446844684468446,2019,39542,15,consistent_with_parallel_pretrends,0.30936095086004123,0.8566888668978404
tercile_placebo,exposure_composite_sim,poverty_gap,high,post_fake_x_high,0.0010362475891035497,0.006460954327712043,-0.012821121244218164,0.014893616422425263,0.8748681013356481,0.9017901790179018,2019,39542,15,consistent_with_parallel_pretrends,0.30936095086004123,0.8566888668978404
tercile_placebo,exposure_composite_sim,poverty_gap_sq,medium,post_fake_x_medium,0.0006510482984768876,0.004621692894256031,-0.009261497096767756,0.01056359369372153,0.8899810800004215,0.9121912191219121,2019,39542,15,consistent_with_parallel_pretrends,0.06072528392254742,0.970093673080454
tercile_placebo,exposure_composite_sim,poverty_gap_sq,high,post_fake_x_high,0.0009829130653425048,0.004049581443347749,-0.007702575305988714,0.009668401436673723,0.8117424684831647,0.8696869686968697,2019,39542,15,consistent_with_parallel_pretrends,0.06072528392254742,0.970093673080454
tercile_placebo,exposure_admin,poverty,medium,post_fake_x_medium,-0.022838263868610337,0.012594033166962506,-0.04953642151782239,0.0038598937806017183,0.08856785975862858,0.11421142114211422,2019,42249,17,consistent_with_parallel_pretrends,3.900515478152983,0.14223740672388108
tercile_placebo,exposure_admin,poverty,high,post_fake_x_high,-0.014979130340719689,0.01105477421528179,-0.03841420478139004,0.008455944099950666,0.19424353341530076,0.2556255625562556,2019,42249,17,consistent_with_parallel_pretrends,3.900515478152983,0.14223740672388108
tercile_placebo,exposure_admin,matdep,medium,post_fake_x_medium,-0.0004887245207028864,0.008166137058309793,-0.017800161744780885,0.01682271270337511,0.9530180864253672,0.9545954595459546,2019,42249,17,consistent_with_parallel_pretrends,0.005923471417471327,0.9970426459036751
tercile_placebo,exposure_admin,matdep,high,post_fake_x_high,-0.000255556465298011,0.00425511305704556,-0.009275993183714446,0.008764880253118425,0.9528526745144332,0.9514951495149515,2019,42249,17,consistent_with_parallel_pretrends,0.005923471417471327,0.9970426459036751
tercile_placebo,exposure_admin,poverty_gap,medium,post_fake_x_medium,-0.009273646309948112,0.004674740323570871,-0.019183653094369285,0.0006363604744730588,0.06471072446647219,0.07270727072707271,2019,42249,17,pretrend_concern,5.46485623415821,0.0650611216998797
tercile_placebo,exposure_admin,poverty_gap,high,post_fake_x_high,-0.0074639124504365705,0.004276671293399431,-0.01653005058834144,0.001602225687468299,0.10011094845574076,0.13611361136113612,2019,42249,17,consistent_with_parallel_pretrends,5.46485623415821,0.0650611216998797
tercile_placebo,exposure_admin,poverty_gap_sq,medium,post_fake_x_medium,-0.0043912266974822,0.00369936839858146,-0.012233537369406683,0.0034510839744422827,0.25254508645559914,0.2923292329232923,2019,42249,17,consistent_with_parallel_pretrends,4.109135113898304,0.12814824041299552
tercile_placebo,exposure_admin,poverty_gap_sq,high,post_fake_x_high,-0.0049756480722459,0.002629050487926345,-0.010548986133521183,0.0005976899890293838,0.07665164476389563,0.10211021102110211,2019,42249,17,consistent_with_parallel_pretrends,4.109135113898304,0.12814824041299552
